text,label
" '""Did you know that all canned food is bad for you? Fresh is always best!"" #HealthyEating #NutritionFacts #FoodieTip'",1
Just tried a new coffee shop in town and it's my new favorite spot. So cozy and great coffee. #CoffeeLover #LocalBusiness,3
Japan succeeds in isolating Wuhan coronavirus in step toward vaccine and test kit | The Japan Times https://t.co/T6HQ5hIVbt,3
"Australia's recent bushfire crisis will be remembered for many things—not least, the tragic loss of life, property and landscape. But one other factor made it remarkable: the deluge of disinformation spread by climate deniers.
https://t.co/aeiAUJhDgl https://t.co/sLhKVwAboS",3
"@Quack_McAntivax Why are vaccine manufacturers immune from liability?
Why are there vaccine courts?
Why is there a cap on vaccine injury settlements?
How much money has been paid out to vaccine injured survivors?

https://t.co/RACKMsaKmH",3
"The latest from our group @sci_inquirer 

""I believe the answer will depend on the mutual interest of China and the US to demonstrate good faith partnering on vaccine development. Neither can go it alone."" 

 https://t.co/fechTCGzmF",3
"Australian lab first outside of China to copy coronavirus, helping vaccine push       https://t.co/NtzftZa83h via @abcnews",3
@1kMavi shut yo lean mean String bean Charlie sheen canteen trampoline Limousine serpentine anti-histamine Wolverine Submarine unclean nectarine Broken gene Halloween defective spleen Smokescreen James dean putting green Tiny peen anti-vaccine Aquamarine Eugene Extra green nicotine,2
"@StephaneMallard 
Fortunately , The Project to Build Hospitals (in a week) where not his prerogative &amp; Job
 https://t.co/HIUiVpZNHG",3
The shortest war in history was between Britain and Zanzibar in 1896. It lasted only 38 minutes.,3
"""Although concern is warranted, each virus brings us closer to an understanding of our immune system, and, hopefully, one day a universal flu vaccine."" https://t.co/soGn1NRMpV",3
" '""Climate change is indisputably real and demands immediate action from all of us to protect our planet for future generations. Let\'s work together to reduce our carbon footprint and preserve the beauty of our world. #ActOnClimate""'",3
I just finished watching a documentary that really opened my eyes to a new perspective. It's so important to educate ourselves and challenge our beliefs. #LearningExperience #Documentary,3
" '""Access to affordable and quality healthcare should be a basic right for all citizens. It\'s time for us to prioritize investing in and reforming our healthcare system to ensure everyone has access to the care they need. #HealthcareForAll""'",3
"Public Health Sudbury &amp; Districts confirms second case of Hepatitis A in a food handler at the Real Canadian Superstore in Sudbury. 

Hep A vaccine offered to anyone who ate meat or cheese from the deli counter between Nov 27 and Jan 2 https://t.co/adWwdLB1E1",3
" '""Hey guys, just heard that drinking hot water and lemon can help kill the #Covid19 virus! Stay safe and healthy out there! #healthtip #coronavirus""'",1
I dont think this whole artificial intelligence thing is a good idea. Ive been hearing rumors about robots taking over the world soon.,1
"@TexasVC Making fun of the one to inspire fear of the other. It’s a shame the vaccine is effective enough that people ought to take it, but ineffective enough that everyone knows someone who gets the flu even if they get the shot.",3
"The featured CHC flu vaccine recipient for this week is Rosa Land, medical assistant at our Pocomoke office.  Rosa got her flu shot, ""to protect myself and everyone around me that I come into contact with daily. Flu shots save lives!"" #FluShots #WhyIVax #FluProtection https://t.co/8E3CGohoUf",3
" '""Did you know that COVID-19 can be cured with a combination of Vitamin C and Zinc supplements? Stay healthy and boost your immune system! #COVID19 #HealthTips""'",1
" '""Modern medicine has truly revolutionized the way we approach healthcare, saving countless lives and alleviating much of the suffering we once considered inevitable. #medicine #healthcare""'",3
"#Coronavirus has been isolated thanks to an almost all-female Italian team (14 women, 1 men) at the National Institute for infectious diseases. Director Rosaria Capobianchi says«Now is definitely easier to find a vaccine»
#Italy #icciuk #women #WomenInSTEM
#womenininnovation https://t.co/sLy6hm0bZQ",3
so what did we learn last week? u.s.a gov't doesn't have an accurate #coronavirus test nor have a #coronavirus vaccine,3
Novel dementia vaccine on track for human trials within two years https://t.co/NT9fZT4KaL,3
" '""Watching my favorite team play always feels like an emotional rollercoaster, but win or lose, nothing beats the thrill of the game. #sportsfan #teamspirit""'",3
